Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
TaCI18AuSi,Table CITSATNAF 1800 Auto Adjustable Silver,Table,CITSATNAF,1800,Auto Adjustable,Silver,8*1*1,8,AU49F,Chris,Despatch,30017,Pick
TaTR18WoBl,Table TRAMK 1800 Workstation Black,Table,TRAMK,1800,Workstation,Black,8*1*1,8,CQ75D,Sarah,Despatch,30068,Pick
SPNa50HeGr,SPen Nalin 50 Hexagonal Grey,SPen,Nalin,50,Hexagonal,Grey,48*10*5,2400,BV84B,Sarah,Despatch,30041,Pick
SPNa12SoBl,SPen Nalin 12 Soluble Black,SPen,Nalin,12,Soluble,Black,48*10*5,2400,BI50B,Chris,Despatch,30077,Pick
MoPH27ErNa,Mouse PH 270 Ergonomic Navi,Mouse,PH,270,Ergonomic,Navi,16*10*1,160,BM62G,Sarah,Despatch,30041,Pick
KeSu35ErWh,Keyboard Susa 350 Ergonomic White,Keyboard,Susa,350,Ergonomic,White,16*10*1,151,DF91G,Sarah,Despatch,30042,Pick
OfOGSLeBl,Office Chair OGAP S Leather Black,Office Chair,OGAP,S,Leather,Black,16*1*1,16,AH95G,Jane,Despatch,30083,Pick
AlRe158GWh,"All-in-one Rezar 15"" 8GB RAM White",All-in-one,Rezar,"15""",8GB RAM,White,16*1*1,16,AF47C,Amy,Despatch,30003,Pick
PrNoA2WiBl,Printer Nospe A2 Wifi Black,Printer,Nospe,A2,Wifi,Black,16*1*1,11,BG29F,Amy,Despatch,30016,Pick
PrSoA2MoBl,Printer Sonac A2 Mono Black,Printer,Sonac,A2,Mono,Black,16*1*1,7,DK68H,Jane,Despatch,30034,Pick
CaWE18FiBe,Cabinet WENO 1800 Filing Beige,Cabinet,WENO,1800,Filing,Beige,8*1*1,6,DH77A,Alex,Despatch,30019,Pick
CaWE12FiBe,Cabinet WENO 1200 Filing Beige,Cabinet,WENO,1200,Filing,Beige,8*1*1,5,BQ62E,Laura,Despatch,30045,Pick
LaPH178GWh,"Laptop PH 17"" 8GB RAM White",Laptop,PH,"17""",8GB RAM,White,16*1*1,4,BP56H,John,Despatch,30040,Pick
DrWE90SlWh,Drawer WENO 900 Sliding White,Drawer,WENO,900,Sliding,White,8*1*1,8,AK69E,Alex,Despatch,30070,Pick
MoSu35MeNa,Mouse Susa 350 Mechanical Navi,Mouse,Susa,350,Mechanical,Navi,16*10*1,160,CO90H,Amy,Despatch,30089,Pick
GaAELHeWh,Gaming Chair AEKI L Head pillow White,Gaming Chair,AEKI,L,Head pillow,White,16*1*1,16,DW18D,Emily,Despatch,30028,Pick
TaCI10AuBl,Table CITSATNAF 1000 Auto Adjustable Black,Table,CITSATNAF,1000,Auto Adjustable,Black,8*1*1,8,BK36E,Amy,Despatch,30018,Pick
PrPHA4LaBl,Printer PH A4 Laser Black,Printer,PH,A4,Laser,Black,16*1*1,16,BX76B,Alex,Despatch,30067,Pick
PeGi50SoPi,Pencil Gib 50 Soluble Pink,Pencil,Gib,50,Soluble,Pink,48*10*5,1622,BV73E,Jane,Despatch,30064,Pick
TVGL75SFBl,"TV GL 75"" SFHD Black",TV,GL,"75""",SFHD,Black,8*1*1,1,CM75G,David,Despatch,30061,Pick
PrNoA2InMi,Printer Nospe A2 Inkjet Mix,Printer,Nospe,A2,Inkjet,Mix,16*1*1,1,CP35G,Chris,Despatch,30003,Pick
AlPH14i7Si,"All-in-one PH 14"" i7 Silver",All-in-one,PH,"14""",i7,Silver,16*1*1,16,DM87D,Jane,Despatch,30044,Pick
PrSoA3MoGr,Printer Sonac A3 Mono Grey,Printer,Sonac,A3,Mono,Grey,16*1*1,16,CV26G,Amy,Despatch,30061,Pick
TVYn75SFBl,"TV Ynos 75"" SFHD Black",TV,Ynos,"75""",SFHD,Black,8*1*1,8,AJ70H,Amy,Despatch,30081,Pick
KeSu45ErBl,Keyboard Susa 450 Ergonomic Black,Keyboard,Susa,450,Ergonomic,Black,16*10*1,88,BL96H,John,Despatch,30085,Pick
TaAE18AdSi,Table AEKI 1800 Adjustable Silver,Table,AEKI,1800,Adjustable,Silver,8*1*1,8,BS62G,Jane,Despatch,30028,Pick
LaOv148GBl,"Laptop Ovonel 14"" 8GB RAM Black",Laptop,Ovonel,"14""",8GB RAM,Black,16*1*1,6,BY60A,John,Despatch,30077,Pick
AlPH14i5Gr,"All-in-one PH 14"" i5 Grey",All-in-one,PH,"14""",i5,Grey,16*1*1,16,BY81D,Emily,Despatch,30010,Pick
GaOGSLePi,Gaming Chair OGAP S Leather Pink,Gaming Chair,OGAP,S,Leather,Pink,16*1*1,16,CX74E,John,Despatch,30060,Pick
CaQE18DoBl,Cabinet QEKI 1800 Door Black,Cabinet,QEKI,1800,Door,Black,8*1*1,8,AN37H,John,Despatch,30016,Pick
MoSu45WiPi,Mouse Susa 450 Wireled Pink,Mouse,Susa,450,Wireled,Pink,16*10*1,160,BS11E,Alex,Despatch,30052,Pick
DrRG90LoWh,Drawer RGAP 900 Locker White,Drawer,RGAP,900,Locker,White,8*1*1,8,DV08B,David,Despatch,30094,Pick
LaPH1532Wh,"Laptop PH 15"" 32GB RAM White",Laptop,PH,"15""",32GB RAM,White,16*1*1,11,CG33E,Emily,Despatch,30038,Pick
DrWE12FiBe,Drawer WENO 1200 Filing Beige,Drawer,WENO,1200,Filing,Beige,8*1*1,8,DL90G,Chris,Despatch,30045,Pick
TVEs75SFWh,"TV Esnesih 75"" SFHD White",TV,Esnesih,"75""",SFHD,White,8*1*1,8,AO45B,Emily,Despatch,30058,Pick
PrReA3LaBl,Printer Rehtorb A3 Laser Black,Printer,Rehtorb,A3,Laser,Black,16*1*1,10,CL76D,Mike,Despatch,30033,Pick
AlOv17i5Si,"All-in-one Ovonel 17"" i5 Silver",All-in-one,Ovonel,"17""",i5,Silver,16*1*1,16,AF52F,Chris,Despatch,30071,Pick
CaTE12DoGr,Cabinet TEWOL 1200 Door Grey,Cabinet,TEWOL,1200,Door,Grey,8*1*1,8,BX16C,Mike,Despatch,30004,Pick
MoHc35BlBl,Mouse Hcetigol 350 Bluetooth Black,Mouse,Hcetigol,350,Bluetooth,Black,16*10*1,153,AV26G,Chris,Despatch,30088,Pick
CuRG90FiWh,Cupboard RGAP 900 Filing White,Cupboard,RGAP,900,Filing,White,8*1*1,6,BV22G,Sarah,Despatch,30014,Pick
CuQE12SlBl,Cupboard QEKI 1200 Sliding Black,Cupboard,QEKI,1200,Sliding,Black,8*1*1,8,DL59B,Jane,Despatch,30009,Pick
KeHc27BlPi,Keyboard Hcetigol 270 Bluetooth Pink,Keyboard,Hcetigol,270,Bluetooth,Pink,16*10*1,160,DR18G,Mike,Despatch,30032,Pick
LaRe158GGr,"Laptop Rezar 15"" 8GB RAM Grey",Laptop,Rezar,"15""",8GB RAM,Grey,16*1*1,11,DN03E,Laura,Despatch,30083,Pick
KePH27WiPi,Keyboard PH 270 Wireled Pink,Keyboard,PH,270,Wireled,Pink,16*10*1,160,DF92E,Sarah,Despatch,30043,Pick
CaRG18SlBl,Cabinet RGAP 1800 Sliding Black,Cabinet,RGAP,1800,Sliding,Black,8*1*1,8,DP09F,Mike,Despatch,30073,Pick
MoSu45MeNa,Mouse Susa 450 Mechanical Navi,Mouse,Susa,450,Mechanical,Navi,16*10*1,160,DK14F,John,Despatch,30080,Pick
CaRG90SlBl,Cabinet RGAP 900 Sliding Black,Cabinet,RGAP,900,Sliding,Black,8*1*1,8,BY27D,Emily,Despatch,30027,Pick
TaAE10AuBl,Table AEKI 1000 Auto Adjustable Black,Table,AEKI,1000,Auto Adjustable,Black,8*1*1,3,DV06H,Mike,Despatch,30055,Pick
KeRe45BlBl,Keyboard Rerar 450 Bluetooth Black,Keyboard,Rerar,450,Bluetooth,Black,16*10*1,160,AY68G,David,Despatch,30008,Pick
CuRG12DoGr,Cupboard RGAP 1200 Door Grey,Cupboard,RGAP,1200,Door,Grey,8*1*1,8,BW33F,Jane,Despatch,30074,Pick
CuTE18FiGr,Cupboard TEWOL 1800 Filing Grey,Cupboard,TEWOL,1800,Filing,Grey,8*1*1,3,BV39B,John,Despatch,30075,Pick
NoScA5doBl,Notebook Scrap A5 dot Black,Notebook,Scrap,A5,dot,Black,48*10*5,2400,AO74G,John,Despatch,30068,Pick
GaXEMHePi,Gaming Chair XENO M Head pillow Pink,Gaming Chair,XENO,M,Head pillow,Pink,16*1*1,11,BV33C,Sarah,Despatch,30032,Pick
TaTR18FrBl,Table TRAMA 1800 Frame Black,Table,TRAMA,1800,Frame,Black,8*1*1,8,BN62G,Laura,Despatch,30045,Pick
AlPH1416Si,"All-in-one PH 14"" 16GB RAM Silver",All-in-one,PH,"14""",16GB RAM,Silver,16*1*1,13,CP22B,Jane,Despatch,30095,Pick
TVYn324KWh,"TV Ynos 32"" 4K White",TV,Ynos,"32""",4K,White,8*1*1,8,DR31B,David,Despatch,30042,Pick
DrQE12DoWh,Drawer QEKI 1200 Door White,Drawer,QEKI,1200,Door,White,8*1*1,8,BK24E,Alex,Despatch,30049,Pick
MoPH27BlNa,Mouse PH 270 Bluetooth Navi,Mouse,PH,270,Bluetooth,Navi,16*10*1,160,DT08A,Mike,Despatch,30029,Pick
DrQE18SlWh,Drawer QEKI 1800 Sliding White,Drawer,QEKI,1800,Sliding,White,8*1*1,8,CT55A,Laura,Despatch,30014,Pick
KePH35MeNa,Keyboard PH 350 Mechanical Navi,Keyboard,PH,350,Mechanical,Navi,16*10*1,160,DS77A,John,Despatch,30078,Pick
DrTE18DoGr,Drawer TEWOL 1800 Door Grey,Drawer,TEWOL,1800,Door,Grey,8*1*1,5,CS88C,Sarah,Despatch,30085,Pick
PrReA2InWh,Printer Rehtorb A2 Inkjet White,Printer,Rehtorb,A2,Inkjet,White,16*1*1,7,DX81F,John,Despatch,30018,Pick
DrRG90LoWh,Drawer RGAP 900 Locker White,Drawer,RGAP,900,Locker,White,8*1*1,3,DS73B,Chris,Despatch,30027,Pick
CuQE90DoBe,Cupboard QEKI 900 Door Beige,Cupboard,QEKI,900,Door,Beige,8*1*1,7,CY49E,Chris,Despatch,30026,Pick
MoSu27BlNa,Mouse Susa 270 Bluetooth Navi,Mouse,Susa,270,Bluetooth,Navi,16*10*1,160,AS30A,Laura,Despatch,30027,Pick
MoPH45MeWh,Mouse PH 450 Mechanical White,Mouse,PH,450,Mechanical,White,16*10*1,64,AI42E,Emily,Despatch,30055,Pick
LaRe17i7Bl,"Laptop Rezar 17"" i7 Black",Laptop,Rezar,"17""",i7,Black,16*1*1,13,DY08C,John,Despatch,30032,Pick
TVEs65SFGr,"TV Esnesih 65"" SFHD Grey",TV,Esnesih,"65""",SFHD,Grey,8*1*1,8,AT05C,Alex,Despatch,30017,Pick
PrReA3WiGr,Printer Rehtorb A3 Wifi Grey,Printer,Rehtorb,A3,Wifi,Grey,16*1*1,16,AU62G,Amy,Despatch,30091,Pick
OfAEMHePi,Office Chair AEKI M Head pillow Pink,Office Chair,AEKI,M,Head pillow,Pink,16*1*1,6,AR28F,David,Despatch,30008,Pick
DrRG12DoGr,Drawer RGAP 1200 Door Grey,Drawer,RGAP,1200,Door,Grey,8*1*1,8,BY20B,Amy,Despatch,30001,Pick
TVEs65SFWh,"TV Esnesih 65"" SFHD White",TV,Esnesih,"65""",SFHD,White,8*1*1,7,BU29B,John,Despatch,30032,Pick
PrNoA4LaWh,Printer Nospe A4 Laser White,Printer,Nospe,A4,Laser,White,16*1*1,16,DQ38B,Laura,Despatch,30084,Pick
MoSu35MeBl,Mouse Susa 350 Mechanical Black,Mouse,Susa,350,Mechanical,Black,16*10*1,141,AO83B,Emily,Despatch,30045,Pick
PrSoA2WiWh,Printer Sonac A2 Wifi White,Printer,Sonac,A2,Wifi,White,16*1*1,5,AX49E,Mike,Despatch,30042,Pick
AlRe1432Wh,"All-in-one Rezar 14"" 32GB RAM White",All-in-one,Rezar,"14""",32GB RAM,White,16*1*1,16,AP77H,Mike,Despatch,30004,Pick
TVYn42S4Bl,"TV Ynos 42"" S4K Black",TV,Ynos,"42""",S4K,Black,8*1*1,3,CJ26E,Sarah,Despatch,30021,Pick
NoScA5doSi,Notebook Scrap A5 dot Silver,Notebook,Scrap,A5,dot,Silver,48*10*5,969,AM63H,Laura,Despatch,30027,Pick
LaSu14i5Gr,"Laptop Susa 14"" i5 Grey",Laptop,Susa,"14""",i5,Grey,16*1*1,8,AU38F,Alex,Despatch,30035,Pick
TVYn32S4Bl,"TV Ynos 32"" S4K Black",TV,Ynos,"32""",S4K,Black,8*1*1,8,AK92D,Amy,Despatch,30013,Pick
AlYn158GGr,"All-in-one Ynos 15"" 8GB RAM Grey",All-in-one,Ynos,"15""",8GB RAM,Grey,16*1*1,13,AN16A,Mike,Despatch,30090,Pick
SPNa50WaGr,SPen Nalin 50 Watercolour Grey,SPen,Nalin,50,Watercolour,Grey,48*10*5,2400,CK30G,Chris,Despatch,30026,Pick
TVGL32SFSi,"TV GL 32"" SFHD Silver",TV,GL,"32""",SFHD,Silver,8*1*1,8,BZ93G,Alex,Despatch,30021,Pick
MoHc45WiPi,Mouse Hcetigol 450 Wireled Pink,Mouse,Hcetigol,450,Wireled,Pink,16*10*1,45,BN43F,Sarah,Despatch,30051,Pick
SPGi50SoGr,SPen Gib 50 Soluble Grey,SPen,Gib,50,Soluble,Grey,48*10*5,2400,CO69A,Alex,Despatch,30087,Pick
TVEs75S4Wh,"TV Esnesih 75"" S4K White",TV,Esnesih,"75""",S4K,White,8*1*1,8,BY81C,Alex,Despatch,30057,Pick
MoHc27WiWh,Mouse Hcetigol 270 Wireled White,Mouse,Hcetigol,270,Wireled,White,16*10*1,160,AO45F,Jane,Despatch,30073,Pick
PrSoA3AlWh,Printer Sonac A3 All-in-one White,Printer,Sonac,A3,All-in-one,White,16*1*1,16,CW98D,Emily,Despatch,30099,Pick
OfSEMHeBl,Office Chair SEWOL M Head pillow Black,Office Chair,SEWOL,M,Head pillow,Black,16*1*1,16,AU91D,Laura,Despatch,30010,Pick
TVYn42FHSi,"TV Ynos 42"" FHD Silver",TV,Ynos,"42""",FHD,Silver,8*1*1,8,CP67H,Jane,Despatch,30026,Pick
PeAl50HeWh,Pencil Aloyarc 50 Hexagonal White,Pencil,Aloyarc,50,Hexagonal,White,48*10*5,221,BX26H,Jane,Despatch,30038,Pick
TVYn654KWh,"TV Ynos 65"" 4K White",TV,Ynos,"65""",4K,White,8*1*1,6,DO73D,Chris,Despatch,30012,Pick
GaOGLAdGr,Gaming Chair OGAP L Adjustable Grey,Gaming Chair,OGAP,L,Adjustable,Grey,16*1*1,16,AN16E,Laura,Despatch,30008,Pick
AlYn1732Si,"All-in-one Ynos 17"" 32GB RAM Silver",All-in-one,Ynos,"17""",32GB RAM,Silver,16*1*1,11,BG46G,Laura,Despatch,30022,Pick
DrTE90LoBe,Drawer TEWOL 900 Locker Beige,Drawer,TEWOL,900,Locker,Beige,8*1*1,5,BU03H,Chris,Despatch,30016,Pick
TaCI18FrSi,Table CITSATNAF 1800 Frame Silver,Table,CITSATNAF,1800,Frame,Silver,8*1*1,2,AY40H,Laura,Despatch,30084,Pick
LaSu15i5Wh,"Laptop Susa 15"" i5 White",Laptop,Susa,"15""",i5,White,16*1*1,16,DG02E,Alex,Despatch,30048,Pick
AlPH1432Gr,"All-in-one PH 14"" 32GB RAM Grey",All-in-one,PH,"14""",32GB RAM,Grey,16*1*1,13,DQ76F,Sarah,Despatch,30021,Pick
MoRe45ErNa,Mouse Rerar 450 Ergonomic Navi,Mouse,Rerar,450,Ergonomic,Navi,16*10*1,150,CF73E,David,Despatch,30018,Pick
TaCI18AdWh,Table CITSATNAF 1800 Adjustable White,Table,CITSATNAF,1800,Adjustable,White,8*1*1,8,CR05C,Emily,Despatch,30069,Pick
DrQE90LoBe,Drawer QEKI 900 Locker Beige,Drawer,QEKI,900,Locker,Beige,8*1*1,8,AX82F,Mike,Despatch,30018,Pick
PrPHA3WiGr,Printer PH A3 Wifi Grey,Printer,PH,A3,Wifi,Grey,16*1*1,6,BX03A,Alex,Despatch,30049,Pick
LaSu14i7Gr,"Laptop Susa 14"" i7 Grey",Laptop,Susa,"14""",i7,Grey,16*1*1,2,CJ58B,Emily,Despatch,30075,Pick
TVGL65FHWh,"TV GL 65"" FHD White",TV,GL,"65""",FHD,White,8*1*1,5,AP63D,Emily,Despatch,30028,Pick
AlYn14i7Bl,"All-in-one Ynos 14"" i7 Black",All-in-one,Ynos,"14""",i7,Black,16*1*1,16,BJ65G,David,Despatch,30034,Pick
CuTE12DoBe,Cupboard TEWOL 1200 Door Beige,Cupboard,TEWOL,1200,Door,Beige,8*1*1,5,AZ40B,Mike,Despatch,30033,Pick
TVEs65SFWh,"TV Esnesih 65"" SFHD White",TV,Esnesih,"65""",SFHD,White,8*1*1,1,AH63A,Laura,Despatch,30016,Pick
GaAEMLeWh,Gaming Chair AEKI M Leather White,Gaming Chair,AEKI,M,Leather,White,16*1*1,12,DO14C,Laura,Despatch,30065,Pick
DrTE18SlBe,Drawer TEWOL 1800 Sliding Beige,Drawer,TEWOL,1800,Sliding,Beige,8*1*1,8,BL03B,David,Despatch,30043,Pick
KePH27ErPi,Keyboard PH 270 Ergonomic Pink,Keyboard,PH,270,Ergonomic,Pink,16*10*1,160,BO03G,Laura,Despatch,30019,Pick
TVYn75SFWh,"TV Ynos 75"" SFHD White",TV,Ynos,"75""",SFHD,White,8*1*1,8,AL17A,Mike,Despatch,30078,Pick
SPNa50HeGr,SPen Nalin 50 Hexagonal Grey,SPen,Nalin,50,Hexagonal,Grey,48*10*5,2126,AH76G,Mike,Despatch,30065,Pick
LaRe1732Si,"Laptop Rezar 17"" 32GB RAM Silver",Laptop,Rezar,"17""",32GB RAM,Silver,16*1*1,16,BN96B,Amy,Despatch,30055,Pick
TaAE15AdGr,Table AEKI 1500 Adjustable Grey,Table,AEKI,1500,Adjustable,Grey,8*1*1,8,AN15D,Laura,Despatch,30067,Pick
OfAEMErGr,Office Chair AEKI M Ergonomic Grey,Office Chair,AEKI,M,Ergonomic,Grey,16*1*1,12,DU40G,Jane,Despatch,30080,Pick
DrTE12FiBe,Drawer TEWOL 1200 Filing Beige,Drawer,TEWOL,1200,Filing,Beige,8*1*1,2,CV87G,Alex,Despatch,30053,Pick
GaSESAdPi,Gaming Chair SEWOL S Adjustable Pink,Gaming Chair,SEWOL,S,Adjustable,Pink,16*1*1,16,CK26B,Mike,Despatch,30077,Pick
PrNoA3AlMi,Printer Nospe A3 All-in-one Mix,Printer,Nospe,A3,All-in-one,Mix,16*1*1,16,CY38D,Sarah,Despatch,30073,Pick
DrRG18DoWh,Drawer RGAP 1800 Door White,Drawer,RGAP,1800,Door,White,8*1*1,5,BV33E,Amy,Despatch,30064,Pick
AlPH1732Si,"All-in-one PH 17"" 32GB RAM Silver",All-in-one,PH,"17""",32GB RAM,Silver,16*1*1,16,BJ91A,Mike,Despatch,30035,Pick
NoGrA5doSi,Notebook Graph A5 dot Silver,Notebook,Graph,A5,dot,Silver,48*10*5,135,DM94F,Jane,Despatch,30024,Pick
OfSELLeGr,Office Chair SEWOL L Leather Grey,Office Chair,SEWOL,L,Leather,Grey,16*1*1,16,BT65F,Laura,Despatch,30025,Pick
CuWE18FiWh,Cupboard WENO 1800 Filing White,Cupboard,WENO,1800,Filing,White,8*1*1,1,BS41B,Alex,Despatch,30003,Pick
CuTE18LoWh,Cupboard TEWOL 1800 Locker White,Cupboard,TEWOL,1800,Locker,White,8*1*1,7,CR58E,Emily,Despatch,30046,Pick
GaSELHeWh,Gaming Chair SEWOL L Head pillow White,Gaming Chair,SEWOL,L,Head pillow,White,16*1*1,16,DK91H,Jane,Despatch,30040,Pick
TVEs32FHSi,"TV Esnesih 32"" FHD Silver",TV,Esnesih,"32""",FHD,Silver,8*1*1,8,BL85A,Alex,Despatch,30066,Pick
TVGL42S4Wh,"TV GL 42"" S4K White",TV,GL,"42""",S4K,White,8*1*1,8,CY97C,Amy,Despatch,30022,Pick
OfXESLeGr,Office Chair XENO S Leather Grey,Office Chair,XENO,S,Leather,Grey,16*1*1,16,DT03G,John,Despatch,30008,Pick
SPRe50HePi,SPen Reldeats 50 Hexagonal Pink,SPen,Reldeats,50,Hexagonal,Pink,48*10*5,2400,AV94A,Jane,Despatch,30097,Pick
LaRe1416Bl,"Laptop Rezar 14"" 16GB RAM Black",Laptop,Rezar,"14""",16GB RAM,Black,16*1*1,12,AQ17D,David,Despatch,30003,Pick
AlPH1416Bl,"All-in-one PH 14"" 16GB RAM Black",All-in-one,PH,"14""",16GB RAM,Black,16*1*1,16,BR48H,David,Despatch,30055,Pick
LaSu1432Gr,"Laptop Susa 14"" 32GB RAM Grey",Laptop,Susa,"14""",32GB RAM,Grey,16*1*1,16,AG22B,Mike,Despatch,30092,Pick
LaPH17i7Bl,"Laptop PH 17"" i7 Black",Laptop,PH,"17""",i7,Black,16*1*1,2,AW45H,Amy,Despatch,30054,Pick
CuRG90SlGr,Cupboard RGAP 900 Sliding Grey,Cupboard,RGAP,900,Sliding,Grey,8*1*1,4,DT81C,Mike,Despatch,30084,Pick
GaAESErGr,Gaming Chair AEKI S Ergonomic Grey,Gaming Chair,AEKI,S,Ergonomic,Grey,16*1*1,16,DP86H,Jane,Despatch,30010,Pick
TVEs65S4Bl,"TV Esnesih 65"" S4K Black",TV,Esnesih,"65""",S4K,Black,8*1*1,8,BG38C,Chris,Despatch,30063,Pick
KeHc45MeNa,Keyboard Hcetigol 450 Mechanical Navi,Keyboard,Hcetigol,450,Mechanical,Navi,16*10*1,160,DW90G,Chris,Despatch,30046,Pick
TaCI10WoBl,Table CITSATNAF 1000 Workstation Black,Table,CITSATNAF,1000,Workstation,Black,8*1*1,4,CF88F,Jane,Despatch,30064,Pick
MoPH35WiPi,Mouse PH 350 Wireled Pink,Mouse,PH,350,Wireled,Pink,16*10*1,160,AN35E,John,Despatch,30004,Pick
SPGi50SoBl,SPen Gib 50 Soluble Black,SPen,Gib,50,Soluble,Black,48*10*5,4,CK32G,John,Despatch,30057,Pick
TaAE10FrGr,Table AEKI 1000 Frame Grey,Table,AEKI,1000,Frame,Grey,8*1*1,5,AG76H,Laura,Despatch,30050,Pick
KeHc45MeNa,Keyboard Hcetigol 450 Mechanical Navi,Keyboard,Hcetigol,450,Mechanical,Navi,16*10*1,6,BM92B,David,Despatch,30048,Pick
CaWE90SlGr,Cabinet WENO 900 Sliding Grey,Cabinet,WENO,900,Sliding,Grey,8*1*1,8,DJ36C,Chris,Despatch,30040,Pick
KeHc27MeWh,Keyboard Hcetigol 270 Mechanical White,Keyboard,Hcetigol,270,Mechanical,White,16*10*1,160,AI16F,David,Despatch,30059,Pick
MoPH35MeWh,Mouse PH 350 Mechanical White,Mouse,PH,350,Mechanical,White,16*10*1,160,CN64G,Sarah,Despatch,30082,Pick
PrPHA4AlWh,Printer PH A4 All-in-one White,Printer,PH,A4,All-in-one,White,16*1*1,16,CR79H,John,Despatch,30069,Pick
NoExA3liGr,Notebook Excercise A3 line Grey,Notebook,Excercise,A3,line,Grey,48*10*5,2400,DQ90E,David,Despatch,30017,Pick
CaTE12SlBl,Cabinet TEWOL 1200 Sliding Black,Cabinet,TEWOL,1200,Sliding,Black,8*1*1,8,CY64G,Chris,Despatch,30008,Pick
MoSu35MeBl,Mouse Susa 350 Mechanical Black,Mouse,Susa,350,Mechanical,Black,16*10*1,154,DU47B,Amy,Despatch,30019,Pick
AlYn1532Wh,"All-in-one Ynos 15"" 32GB RAM White",All-in-one,Ynos,"15""",32GB RAM,White,16*1*1,16,BU59H,Laura,Despatch,30030,Pick
TVEs654KWh,"TV Esnesih 65"" 4K White",TV,Esnesih,"65""",4K,White,8*1*1,8,CH50G,Amy,Despatch,30000,Pick
LaYn1416Wh,"Laptop Ynos 14"" 16GB RAM White",Laptop,Ynos,"14""",16GB RAM,White,16*1*1,16,CF92F,Alex,Despatch,30024,Pick
KeRe45ErBl,Keyboard Rerar 450 Ergonomic Black,Keyboard,Rerar,450,Ergonomic,Black,16*10*1,160,BU94D,Jane,Despatch,30025,Pick
KePH45ErNa,Keyboard PH 450 Ergonomic Navi,Keyboard,PH,450,Ergonomic,Navi,16*10*1,104,BH96B,Amy,Despatch,30098,Pick
CaTE12FiWh,Cabinet TEWOL 1200 Filing White,Cabinet,TEWOL,1200,Filing,White,8*1*1,8,DY72B,Jane,Despatch,30037,Pick
PrNoA3WiBl,Printer Nospe A3 Wifi Black,Printer,Nospe,A3,Wifi,Black,16*1*1,14,AR91A,Emily,Despatch,30017,Pick
MoRe27WiWh,Mouse Rerar 270 Wireled White,Mouse,Rerar,270,Wireled,White,16*10*1,78,AO76C,David,Despatch,30060,Pick
TVGL50S4Bl,"TV GL 50"" S4K Black",TV,GL,"50""",S4K,Black,8*1*1,8,AU53F,John,Despatch,30016,Pick
