Product,Description,Category,Brand,Size,Function,Colour,Pallet,Quantity,Location,Staff,To,Customer,Task
TaAE18WoWh,Table AEKI 1800 Workstation White,Table,AEKI,1800,Workstation,White,8*1*1,1,AG92E,Mike,Despatch,30006,Pick
LaPH158GGr,"Laptop PH 15"" 8GB RAM Grey",Laptop,PH,"15""",8GB RAM,Grey,16*1*1,1,CU14G,Sarah,Despatch,30053,Pick
OfOGMAdBl,Office Chair OGAP M Adjustable Black,Office Chair,OGAP,M,Adjustable,Black,16*1*1,5,CT65C,Amy,Despatch,30040,Pick
KePH35WiNa,Keyboard PH 350 Wireled Navi,Keyboard,PH,350,Wireled,Navi,16*10*1,160,AP08G,Sarah,Despatch,30010,Pick
GaXESHeBl,Gaming Chair XENO S Head pillow Black,Gaming Chair,XENO,S,Head pillow,Black,16*1*1,10,BX34E,Laura,Despatch,30091,Pick
TVGn65SFGr,"TV Gnusmag 65"" SFHD Grey",TV,Gnusmag,"65""",SFHD,Grey,8*1*1,7,AH93A,Alex,Despatch,30017,Pick
CuQE12DoWh,Cupboard QEKI 1200 Door White,Cupboard,QEKI,1200,Door,White,8*1*1,8,DP97E,Alex,Despatch,30005,Pick
AlRe1416Gr,"All-in-one Rezar 14"" 16GB RAM Grey",All-in-one,Rezar,"14""",16GB RAM,Grey,16*1*1,16,AG98D,John,Despatch,30046,Pick
CaQE18DoBe,Cabinet QEKI 1800 Door Beige,Cabinet,QEKI,1800,Door,Beige,8*1*1,8,DI95E,Alex,Despatch,30007,Pick
CaQE90DoBe,Cabinet QEKI 900 Door Beige,Cabinet,QEKI,900,Door,Beige,8*1*1,4,DK39H,Jane,Despatch,30034,Pick
TVGL42S4Bl,"TV GL 42"" S4K Black",TV,GL,"42""",S4K,Black,8*1*1,8,AM48F,Amy,Despatch,30079,Pick
TaAE15FrGr,Table AEKI 1500 Frame Grey,Table,AEKI,1500,Frame,Grey,8*1*1,8,BN18A,John,Despatch,30005,Pick
TVGn42S4Gr,"TV Gnusmag 42"" S4K Grey",TV,Gnusmag,"42""",S4K,Grey,8*1*1,8,AL81E,Mike,Despatch,30007,Pick
TaCI10AuSi,Table CITSATNAF 1000 Auto Adjustable Silver,Table,CITSATNAF,1000,Auto Adjustable,Silver,8*1*1,8,DI18G,John,Despatch,30098,Pick
PeNa24WaGr,Pencil Nalin 24 Watercolour Grey,Pencil,Nalin,24,Watercolour,Grey,48*10*5,2400,BG88E,Sarah,Despatch,30052,Pick
DrTE18SlGr,Drawer TEWOL 1800 Sliding Grey,Drawer,TEWOL,1800,Sliding,Grey,8*1*1,8,AL05G,John,Despatch,30027,Pick
GaAELAdWh,Gaming Chair AEKI L Adjustable White,Gaming Chair,AEKI,L,Adjustable,White,16*1*1,1,CF13B,Chris,Despatch,30045,Pick
LaSu15i5Wh,"Laptop Susa 15"" i5 White",Laptop,Susa,"15""",i5,White,16*1*1,7,AM55F,Amy,Despatch,30071,Pick
TVYn654KSi,"TV Ynos 65"" 4K Silver",TV,Ynos,"65""",4K,Silver,8*1*1,1,AY89H,Emily,Despatch,30065,Pick
AlRe1516Gr,"All-in-one Rezar 15"" 16GB RAM Grey",All-in-one,Rezar,"15""",16GB RAM,Grey,16*1*1,16,CJ64A,Jane,Despatch,30041,Pick
PrSoA4InWh,Printer Sonac A4 Inkjet White,Printer,Sonac,A4,Inkjet,White,16*1*1,2,CX63D,Alex,Despatch,30021,Pick
TVGL50S4Si,"TV GL 50"" S4K Silver",TV,GL,"50""",S4K,Silver,8*1*1,3,AM79A,Jane,Despatch,30085,Pick
CuRG18LoGr,Cupboard RGAP 1800 Locker Grey,Cupboard,RGAP,1800,Locker,Grey,8*1*1,8,CQ42G,Sarah,Despatch,30078,Pick
TaTR18WoGr,Table TRAMK 1800 Workstation Grey,Table,TRAMK,1800,Workstation,Grey,8*1*1,8,AV96B,Alex,Despatch,30021,Pick
TVEs32SFSi,"TV Esnesih 32"" SFHD Silver",TV,Esnesih,"32""",SFHD,Silver,8*1*1,3,BU80D,Emily,Despatch,30027,Pick
CuQE90FiBe,Cupboard QEKI 900 Filing Beige,Cupboard,QEKI,900,Filing,Beige,8*1*1,8,DS77H,Alex,Despatch,30090,Pick
MoRe27WiBl,Mouse Rerar 270 Wireled Black,Mouse,Rerar,270,Wireled,Black,16*10*1,28,DT09F,Amy,Despatch,30055,Pick
SPGi24WaPi,SPen Gib 24 Watercolour Pink,SPen,Gib,24,Watercolour,Pink,48*10*5,2400,CN49H,Alex,Despatch,30036,Pick
TVGn654KGr,"TV Gnusmag 65"" 4K Grey",TV,Gnusmag,"65""",4K,Grey,8*1*1,6,CH39H,Chris,Despatch,30065,Pick
DrWE90DoGr,Drawer WENO 900 Door Grey,Drawer,WENO,900,Door,Grey,8*1*1,6,DN75C,Sarah,Despatch,30085,Pick
DrTE90DoBe,Drawer TEWOL 900 Door Beige,Drawer,TEWOL,900,Door,Beige,8*1*1,8,CO79A,Mike,Despatch,30097,Pick
CuQE12DoBe,Cupboard QEKI 1200 Door Beige,Cupboard,QEKI,1200,Door,Beige,8*1*1,4,AR94D,Laura,Despatch,30011,Pick
TVGn32FHWh,"TV Gnusmag 32"" FHD White",TV,Gnusmag,"32""",FHD,White,8*1*1,7,DS85G,Mike,Despatch,30009,Pick
AlYn17i5Si,"All-in-one Ynos 17"" i5 Silver",All-in-one,Ynos,"17""",i5,Silver,16*1*1,16,CI05B,Mike,Despatch,30091,Pick
TVYn50SFSi,"TV Ynos 50"" SFHD Silver",TV,Ynos,"50""",SFHD,Silver,8*1*1,7,BZ41H,Amy,Despatch,30020,Pick
KeRe27WiWh,Keyboard Rerar 270 Wireled White,Keyboard,Rerar,270,Wireled,White,16*10*1,160,AS94A,Amy,Despatch,30058,Pick
AlPH17i7Bl,"All-in-one PH 17"" i7 Black",All-in-one,PH,"17""",i7,Black,16*1*1,16,AH53B,David,Despatch,30031,Pick
TaCI15WoWh,Table CITSATNAF 1500 Workstation White,Table,CITSATNAF,1500,Workstation,White,8*1*1,2,BX39H,David,Despatch,30030,Pick
PeAl50WaGr,Pencil Aloyarc 50 Watercolour Grey,Pencil,Aloyarc,50,Watercolour,Grey,48*10*5,2400,DJ19B,Laura,Despatch,30067,Pick
PrReA4AlBl,Printer Rehtorb A4 All-in-one Black,Printer,Rehtorb,A4,All-in-one,Black,16*1*1,4,BX37B,Alex,Despatch,30021,Pick
LaOv1532Bl,"Laptop Ovonel 15"" 32GB RAM Black",Laptop,Ovonel,"15""",32GB RAM,Black,16*1*1,4,BJ64F,Emily,Despatch,30071,Pick
PrReA3LaMi,Printer Rehtorb A3 Laser Mix,Printer,Rehtorb,A3,Laser,Mix,16*1*1,16,DF81A,Sarah,Despatch,30009,Pick
SPAl50SoGr,SPen Aloyarc 50 Soluble Grey,SPen,Aloyarc,50,Soluble,Grey,48*10*5,2400,DG17C,Alex,Despatch,30010,Pick
TVEs50SFSi,"TV Esnesih 50"" SFHD Silver",TV,Esnesih,"50""",SFHD,Silver,8*1*1,1,AO10F,David,Despatch,30004,Pick
PrReA4LaMi,Printer Rehtorb A4 Laser Mix,Printer,Rehtorb,A4,Laser,Mix,16*1*1,15,DF60F,John,Despatch,30050,Pick
TVGn42SFGr,"TV Gnusmag 42"" SFHD Grey",TV,Gnusmag,"42""",SFHD,Grey,8*1*1,2,CG39A,John,Despatch,30086,Pick
TaCI15AuSi,Table CITSATNAF 1500 Auto Adjustable Silver,Table,CITSATNAF,1500,Auto Adjustable,Silver,8*1*1,8,DR54G,Mike,Despatch,30008,Pick
SPRe50HeBl,SPen Reldeats 50 Hexagonal Black,SPen,Reldeats,50,Hexagonal,Black,48*10*5,344,DV67A,David,Despatch,30045,Pick
MoRe27BlBl,Mouse Rerar 270 Bluetooth Black,Mouse,Rerar,270,Bluetooth,Black,16*10*1,148,BX96F,Amy,Despatch,30042,Pick
KeHc35BlWh,Keyboard Hcetigol 350 Bluetooth White,Keyboard,Hcetigol,350,Bluetooth,White,16*10*1,27,DM05C,Laura,Despatch,30014,Pick
LaPH17i7Gr,"Laptop PH 17"" i7 Grey",Laptop,PH,"17""",i7,Grey,16*1*1,10,AU40F,Mike,Despatch,30066,Pick
CaTE12LoBe,Cabinet TEWOL 1200 Locker Beige,Cabinet,TEWOL,1200,Locker,Beige,8*1*1,5,CQ54A,Alex,Despatch,30091,Pick
LaRe14i5Gr,"Laptop Rezar 14"" i5 Grey",Laptop,Rezar,"14""",i5,Grey,16*1*1,5,AY79H,Sarah,Despatch,30060,Pick
DrQE12FiBl,Drawer QEKI 1200 Filing Black,Drawer,QEKI,1200,Filing,Black,8*1*1,3,AK32A,Amy,Despatch,30027,Pick
SPRe12SoGr,SPen Reldeats 12 Soluble Grey,SPen,Reldeats,12,Soluble,Grey,48*10*5,2400,CV62A,Chris,Despatch,30021,Pick
OfOGMLeBl,Office Chair OGAP M Leather Black,Office Chair,OGAP,M,Leather,Black,16*1*1,16,DM68G,Laura,Despatch,30034,Pick
TVEs32S4Wh,"TV Esnesih 32"" S4K White",TV,Esnesih,"32""",S4K,White,8*1*1,1,AR67G,Amy,Despatch,30001,Pick
TaCI18FrWh,Table CITSATNAF 1800 Frame White,Table,CITSATNAF,1800,Frame,White,8*1*1,8,CS35A,Sarah,Despatch,30049,Pick
CuWE12LoBe,Cupboard WENO 1200 Locker Beige,Cupboard,WENO,1200,Locker,Beige,8*1*1,3,DY21A,David,Despatch,30024,Pick
GaAELErPi,Gaming Chair AEKI L Ergonomic Pink,Gaming Chair,AEKI,L,Ergonomic,Pink,16*1*1,16,DQ74E,Emily,Despatch,30080,Pick
PrReA3MoMi,Printer Rehtorb A3 Mono Mix,Printer,Rehtorb,A3,Mono,Mix,16*1*1,16,CF72C,Laura,Despatch,30071,Pick
AlYn17i5Gr,"All-in-one Ynos 17"" i5 Grey",All-in-one,Ynos,"17""",i5,Grey,16*1*1,4,DX70E,Jane,Despatch,30048,Pick
MoSu35ErPi,Mouse Susa 350 Ergonomic Pink,Mouse,Susa,350,Ergonomic,Pink,16*10*1,96,DW06H,Alex,Despatch,30019,Pick
PeAl12SoGr,Pencil Aloyarc 12 Soluble Grey,Pencil,Aloyarc,12,Soluble,Grey,48*10*5,879,CX01C,Laura,Despatch,30097,Pick
CaQE90DoBl,Cabinet QEKI 900 Door Black,Cabinet,QEKI,900,Door,Black,8*1*1,3,DM26D,Chris,Despatch,30022,Pick
GaSEMHeGr,Gaming Chair SEWOL M Head pillow Grey,Gaming Chair,SEWOL,M,Head pillow,Grey,16*1*1,16,CM93C,Laura,Despatch,30068,Pick
CaQE12DoBe,Cabinet QEKI 1200 Door Beige,Cabinet,QEKI,1200,Door,Beige,8*1*1,8,CT34E,Chris,Despatch,30009,Pick
MoSu45ErBl,Mouse Susa 450 Ergonomic Black,Mouse,Susa,450,Ergonomic,Black,16*10*1,160,AP92D,Sarah,Despatch,30039,Pick
TVEs65SFWh,"TV Esnesih 65"" SFHD White",TV,Esnesih,"65""",SFHD,White,8*1*1,8,AX75A,John,Despatch,30052,Pick
PrSoA2WiBl,Printer Sonac A2 Wifi Black,Printer,Sonac,A2,Wifi,Black,16*1*1,16,CU59D,Laura,Despatch,30027,Pick
AlYn15i7Bl,"All-in-one Ynos 15"" i7 Black",All-in-one,Ynos,"15""",i7,Black,16*1*1,9,CK94B,John,Despatch,30001,Pick
DrWE12LoGr,Drawer WENO 1200 Locker Grey,Drawer,WENO,1200,Locker,Grey,8*1*1,8,BV06G,Laura,Despatch,30016,Pick
AlPH1732Wh,"All-in-one PH 17"" 32GB RAM White",All-in-one,PH,"17""",32GB RAM,White,16*1*1,16,DF54D,Mike,Despatch,30011,Pick
CuQE12FiBl,Cupboard QEKI 1200 Filing Black,Cupboard,QEKI,1200,Filing,Black,8*1*1,8,AK91G,David,Despatch,30093,Pick
TVGn75SFWh,"TV Gnusmag 75"" SFHD White",TV,Gnusmag,"75""",SFHD,White,8*1*1,8,DG06A,Sarah,Despatch,30004,Pick
TVYn504KWh,"TV Ynos 50"" 4K White",TV,Ynos,"50""",4K,White,8*1*1,8,DJ22H,Alex,Despatch,30003,Pick
AlOv14i5Wh,"All-in-one Ovonel 14"" i5 White",All-in-one,Ovonel,"14""",i5,White,16*1*1,16,BZ33F,Jane,Despatch,30023,Pick
GaAESErWh,Gaming Chair AEKI S Ergonomic White,Gaming Chair,AEKI,S,Ergonomic,White,16*1*1,16,CU40B,Jane,Despatch,30076,Pick
OfOGLAdGr,Office Chair OGAP L Adjustable Grey,Office Chair,OGAP,L,Adjustable,Grey,16*1*1,16,CL83D,Mike,Despatch,30088,Pick
CuWE18LoWh,Cupboard WENO 1800 Locker White,Cupboard,WENO,1800,Locker,White,8*1*1,1,BK18A,Emily,Despatch,30023,Pick
SPAl24SoGr,SPen Aloyarc 24 Soluble Grey,SPen,Aloyarc,24,Soluble,Grey,48*10*5,2400,BZ67C,Mike,Despatch,30043,Pick
TVEs504KSi,"TV Esnesih 50"" 4K Silver",TV,Esnesih,"50""",4K,Silver,8*1*1,8,AP50G,Amy,Despatch,30012,Pick
SPRe50WaBl,SPen Reldeats 50 Watercolour Black,SPen,Reldeats,50,Watercolour,Black,48*10*5,381,AP53G,Amy,Despatch,30009,Pick
AlSu1716Wh,"All-in-one Susa 17"" 16GB RAM White",All-in-one,Susa,"17""",16GB RAM,White,16*1*1,9,BT68G,Laura,Despatch,30018,Pick
TVGL42SFWh,"TV GL 42"" SFHD White",TV,GL,"42""",SFHD,White,8*1*1,8,AG53A,Sarah,Despatch,30060,Pick
CaWE18SlBl,Cabinet WENO 1800 Sliding Black,Cabinet,WENO,1800,Sliding,Black,8*1*1,5,CH02C,Mike,Despatch,30028,Pick
PeRe12SoBl,Pencil Reldeats 12 Soluble Black,Pencil,Reldeats,12,Soluble,Black,48*10*5,2400,CU85B,Sarah,Despatch,30017,Pick
MoRe35ErWh,Mouse Rerar 350 Ergonomic White,Mouse,Rerar,350,Ergonomic,White,16*10*1,160,BO03A,Amy,Despatch,30025,Pick
TVEs50FHWh,"TV Esnesih 50"" FHD White",TV,Esnesih,"50""",FHD,White,8*1*1,6,BH50B,Chris,Despatch,30047,Pick
PrReA2LaGr,Printer Rehtorb A2 Laser Grey,Printer,Rehtorb,A2,Laser,Grey,16*1*1,16,AG93H,Mike,Despatch,30076,Pick
KePH27WiPi,Keyboard PH 270 Wireled Pink,Keyboard,PH,270,Wireled,Pink,16*10*1,160,CX68F,Laura,Despatch,30060,Pick
TaAE15FrBl,Table AEKI 1500 Frame Black,Table,AEKI,1500,Frame,Black,8*1*1,6,AU29B,Chris,Despatch,30087,Pick
PrSoA3MoGr,Printer Sonac A3 Mono Grey,Printer,Sonac,A3,Mono,Grey,16*1*1,6,BU74C,Mike,Despatch,30053,Pick
SPAl50HeGr,SPen Aloyarc 50 Hexagonal Grey,SPen,Aloyarc,50,Hexagonal,Grey,48*10*5,872,DX79A,Mike,Despatch,30006,Pick
DrQE12LoBl,Drawer QEKI 1200 Locker Black,Drawer,QEKI,1200,Locker,Black,8*1*1,6,AY25C,John,Despatch,30057,Pick
GaSEMLeGr,Gaming Chair SEWOL M Leather Grey,Gaming Chair,SEWOL,M,Leather,Grey,16*1*1,15,BN16D,Laura,Despatch,30093,Pick
PrNoA2WiMi,Printer Nospe A2 Wifi Mix,Printer,Nospe,A2,Wifi,Mix,16*1*1,16,CV89E,John,Despatch,30023,Pick
CaTE12LoWh,Cabinet TEWOL 1200 Locker White,Cabinet,TEWOL,1200,Locker,White,8*1*1,5,BP55D,Laura,Despatch,30071,Pick
NoMuA3ruWh,Notebook Music A3 ruled White,Notebook,Music,A3,ruled,White,48*10*5,2400,CG16H,Amy,Despatch,30033,Pick
TaTR10AdBl,Table TRAMA 1000 Adjustable Black,Table,TRAMA,1000,Adjustable,Black,8*1*1,8,BN84B,Jane,Despatch,30054,Pick
OfXELErGr,Office Chair XENO L Ergonomic Grey,Office Chair,XENO,L,Ergonomic,Grey,16*1*1,16,DW29D,Laura,Despatch,30076,Pick
MoPH45ErPi,Mouse PH 450 Ergonomic Pink,Mouse,PH,450,Ergonomic,Pink,16*10*1,40,DR35G,Sarah,Despatch,30056,Pick
CuWE12FiGr,Cupboard WENO 1200 Filing Grey,Cupboard,WENO,1200,Filing,Grey,8*1*1,8,AU17G,Emily,Despatch,30092,Pick
SPAl12WaWh,SPen Aloyarc 12 Watercolour White,SPen,Aloyarc,12,Watercolour,White,48*10*5,2400,BW14B,Mike,Despatch,30071,Pick
AlPH17i5Bl,"All-in-one PH 17"" i5 Black",All-in-one,PH,"17""",i5,Black,16*1*1,16,AG86D,John,Despatch,30088,Pick
OfSELLeBl,Office Chair SEWOL L Leather Black,Office Chair,SEWOL,L,Leather,Black,16*1*1,16,BF23D,Chris,Despatch,30003,Pick
GaSESErWh,Gaming Chair SEWOL S Ergonomic White,Gaming Chair,SEWOL,S,Ergonomic,White,16*1*1,6,CS26B,John,Despatch,30057,Pick
TVYn75SFSi,"TV Ynos 75"" SFHD Silver",TV,Ynos,"75""",SFHD,Silver,8*1*1,8,CH72G,David,Despatch,30088,Pick
GaOGLErWh,Gaming Chair OGAP L Ergonomic White,Gaming Chair,OGAP,L,Ergonomic,White,16*1*1,16,DZ70E,Sarah,Despatch,30038,Pick
DrTE90LoGr,Drawer TEWOL 900 Locker Grey,Drawer,TEWOL,900,Locker,Grey,8*1*1,8,AL48A,Amy,Despatch,30094,Pick
